"station","lon","lat","SST_mn","SST_sd"
104,-84.592,-0.991,22.8129338257446,1.83874141332816
105,-84.588,-0.491,25.098704102539,0.745704420524599
106,-84.62,0.037,25.1746498400879,0.927084180335999
107,-84.581,0.488,25.1836487835693,0.842753721250531
108,-84.583,1.013,26.1617262303467,1.14378618085861
109,-84.545,1.8,26.1417770309448,0.919335259675985
110,-84.616,-1.913,23.1880390182495,2.24562277957916
111,-100.662,-16.932,22.2711660366516,1.03767597960663
112,-129.578,-23.22,23.9323838142395,0.422261630994055
113,-134.92,-23.114,24.6674186947632,0.955301538929937
114,-134.912,-23.13,24.6648525372315,0.921353707027444
115,-134.931,-23.216,24.9914926799723,0.728076370321891
116,-134.931,-23.217,24.9961557865804,0.726134385941809
117,-135.016,-23.129,24.2488754563192,0.779790406096794
118,-135.009,-23.129,24.2766223815105,0.789445350062064
119,-134.912,-23.012,25.1874227509155,1.29655119461346
120,-134.912,-23.012,25.1874227509155,1.29655119461346
121,-134.959,-23.05,24.8833786117553,1.10388950076101
122,-139.338,-8.969,27.550867984436,0.86663951701547
123,-140.304,-8.879,27.3440203918457,0.871731500379567
124,-140.588,-8.999,27.8018465272827,0.849976565279005
125,-142.61,-8.89,27.5979778190612,0.754272306132323
126,-151.208,-11.975,28.3940595565796,0.788099388504025
127,-152.568,-6.62,27.2684215242004,0.481875029637801
128,-153.305,-0.469,26.711433079834,0.885091234130853
129,-153.089,6.732,27.8625476704101,0.700588880275718
130,-152.462,11.265,27.0066939633179,0.708098735356328
131,-158.052,22.747,24.9392525588989,1.22661372444534
132,-159.014,31.506,21.281163252594,3.20300930052567
133,-127.75,35.343,15.9003097190857,2.22482549571992
134,-121.986,32.667,15.7982814914246,1.76608641081619
135,-121.832,32.983,15.3192216087342,1.72971072484208
136,-118.914,17.022,25.3000749682007,1.46008544686698
137,-116.699,14.161,27.4797528795166,0.649172851516711
138,-103.017,6.215,27.6068650744629,0.863675514831542
139,-95.449,6.491,27.9898093223877,1.03525886530685
140,-79.312,7.471,27.0142841697998,2.18665934563447
141,-80.086,9.834,27.7610922779541,0.908205819437029
142,-88.417,25.602,26.7663404786377,1.92534697475434
143,-79.682,29.885,26.6836834579468,1.72229107017517
144,-72.815,36.369,24.1018375183105,3.6979054989624
145,-70.076,39.163,17.4135448759766,5.87831596356197
146,-71.248,34.731,22.7890142584229,2.94130147733307
147,-66.533,32.954,22.630279166626,3.24485729636384
148,-64.145,31.782,23.4390902944946,3.0338780173874
148,-56.876,34.027,22.2335932814941,3.03097066390991
149,-49.84,34.098,22.0374231130981,3.21208244735718
150,-37.102,35.8,20.1542640296936,2.45306816816331
151,-28.801,36.194,20.1084889342651,3.00458363756562
152,-16.662,43.668,16.1493523604584,2.66083246068573
153,-16.564,44.034,15.6099501709137,2.77483433785629
154,-10.094,44.354,14.9675237801056,2.45393616632843
155,-16.755,54.597,11.9413306484985,1.57810634391784
156,-7.879,60.923,9.69497644354248,1.38348258512878
157,-1.759,65.676,6.99810832337952,2.38177206221008
