"data","station","N_10","S_10","N_max","N_KS","S_KS","alpha_par","logk_par","AIC_par","BIC_par","alpha_exp","logk_exp","logb_exp","AIC_exp","BIC_exp"
"metaT",111,239323,834,33376,238295,748,1.1432508584575,1.61521997946074,8172.23082669205,8181.465632648,1.14325126460268,1.61522048956363,-13.0574332964344,8174.23082669502,8188.08303562894
"metaT",122,308129,3076,20427,308129,3076,1.10975186562459,1.13820670266897,27184.3783036669,27196.4410743282,1.10953595329181,1.13809974202118,-6.92607781183767,27186.3758274577,27204.4699834496
"metaT",123,1504612,8147,54141,1502672,7953,1.35439611466284,1.82859392570803,89801.2429735309,89815.2055825209,1.35138112797797,1.82743231322943,-5.93574619877397,89803.1896438621,89824.133557347
"metaT",124,239557,2463,16275,239557,2463,1.23809821582168,1.31182476160304,22736.9563228708,22748.5745936671,1.23810185601843,1.31182846891926,-11.7633764154055,22738.9563229082,22756.3837291026
"metaT",125,231905,2928,6504,231905,2928,1.15951938479929,1.26540608298918,27107.5324105455,27119.4965602957,1.11252287783573,1.24422110586462,-4.21101159806295,27107.6809940575,27125.6272186827
"metaT",128,33951,749,993,32666,626,1.35003813729152,1.27835290597559,5493.22136059882,5502.10006134103,1.04751916042253,1.16509653318698,-3.03401503336455,5492.55110620133,5505.86915731463
"metaT",131,102340,415,29049,102260,407,0.932555938204698,1.5283912133042,4612.41369917365,4620.43132554453,0.840165070547848,1.47398664060802,-4.37283730870695,4613.0090361202,4625.03547567652
"metaT",132,87107,620,4762,83848,431,1.16963916114521,1.7453194571259,4932.08424090752,4940.21645708773,0.880849615998224,1.61896930941886,-3.6208171872063,4930.89679511332,4943.09511938363
"metaT",135,5690,207,372,5430,181,1.26179076827135,0.855896275739665,1282.71335691507,1289.1103509776,1.14518009442311,0.810205447863702,-3.18370163828779,1284.42496167539,1294.02045276918
"metaT",136,125958,787,4588,125958,787,1.10302341156481,1.65534908928975,8850.14550258643,8859.48195908326,0.702628701407483,1.45932979246543,-3.38378549569678,8841.03519897407,8855.03988371932
"metaT",137,168650,672,8490,168510,658,1.11279644685816,1.88447258147441,8072.31004430524,8081.28845416789,0.627940249257363,1.63658408742806,-3.50439582714371,8063.1583972835,8076.62601207747
"metaT",138,109629,558,14492,101913,255,1.11117711818051,1.92766047522976,3182.90212303011,3189.98465012043,1.02411988629026,1.88613950355086,-4.59015460300026,3184.48337025496,3195.10716089044
"metaT",142,38643,506,3948,38643,506,1.49459435702047,1.50956850093989,4804.15428632541,4812.60735966398,1.49458781614358,1.50956539491017,-10.5028891828586,4806.15428637786,4818.83389638572
"metaT",143,70518,520,4916,67785,363,1.24089673407698,1.7628682911385,4105.32544643265,4113.11425210118,1.07468111965027,1.69624536890548,-3.91043709652649,4106.32795222635,4118.01116072914
"metaT",144,22381,579,684,11902,100,3.8822562834011,2.26533316365714,1027.46165650957,1032.67199688154,1.50884098713324,1.9735495262479,-2.44145500407605,1029.322652009,1037.13816256697
"metaT",145,319467,1761,34779,319467,1761,1.05226616146891,1.47900061142831,18688.129417611,18699.076691828,1.02773376142762,1.46634647670565,-4.93066443054432,18689.4091826305,18705.830093956
"metaT",146,90928,666,2836,77698,237,1.95059472172055,2.42593474520877,3052.03338665576,3058.96950693803,0.487019741164525,1.97228460034384,-3.0504843548421,3050.56500355696,3060.96918398036
"metaT",147,77285,602,2588,77285,602,1.38029784506297,1.79613651297417,6671.70875623315,6680.50927112377,0.762588834591728,1.56156002744328,-3.09464905888754,6666.09125477271,6679.29202710864
"metaT",148,77559,638,5328,77559,638,1.31176191382163,1.69502434782152,6886.65021774148,6895.56689430817,0.965211373644853,1.55926283828463,-3.39331192230766,6884.93367142303,6898.30868627306
"metaT",149,86781,971,4074,76282,443,1.66094354299435,1.98092597007001,5015.16959057237,5023.35673011246,1.52041106933255,1.94232584525203,-3.96890521613259,5016.89477383565,5029.17548314579
"metaT",150,94685,727,2679,89957,460,1.40098545722727,1.96178004751096,5426.28274562139,5434.54519860036,0.691860326610686,1.68811365984327,-3.17232189337637,5421.54391484106,5433.93759430951
"metaT",151,120491,516,7073,114149,277,1.5107343133249,2.33921769583245,3680.11388739408,3687.36192240645,1.08691325769644,2.19858560731655,-3.82958274893362,3680.89895544108,3691.77100795965
"metaT",152,641295,1734,13674,602835,935,2.61191855016451,2.93193351333485,13419.0013671797,13428.6824602383,2.40101211758599,2.90068473371508,-4.4275445443104,13420.8810493228,13435.4026889107
"metaT",155,23392159,45131,55568,22275649,24450,1.61877023696037,2.73937949046723,364002.948806444,364019.157577434,1.16178477215586,2.60246226734586,-4.13318629327193,363909.384457242,363933.697613727
"metaT",158,1453878,8855,30756,1253820,3215,1.09674834016927,1.89291692423572,39728.8759354637,39741.027100737,0.979121674100525,1.83743431176968,-4.37283577398504,39722.1182078284,39740.3449557384
"metaT",168,53448,307,4825,52647,241,0.731097391994029,1.18782296153926,2614.61642638217,2621.58602024915,0.527229040782212,1.02928460008014,-3.78354907350878,2611.5064862996,2621.96087710007
"metaT",173,12341383,84532,41651,9822449,23355,1.63011442557372,2.33235671401987,303397.42667814,303413.543810886,1.40806992888853,2.26886512158798,-4.10832369622639,303369.543173099,303393.718872218
"metaT",175,117949833,40702,209088,117776775,36593,1.76549909421814,3.41108219078443,647867.353294663,647884.368519152,1.46799604186927,3.33505094188388,-4.96926120697607,647815.343641705,647840.866478437
"metaT",178,235923,537,22919,235923,537,0.788731841551185,1.57173507981782,6581.46026964055,6590.03226582957,0.639583127310784,1.46275032685136,-4.32927176556489,6577.69182096976,6590.54981525329
"metaT",180,864401,3172,25610,864401,3172,0.793201622369528,1.16571488551523,32845.1375133666,32857.2617485322,0.757537467153912,1.14001088139532,-4.89485252271511,32841.1810921304,32859.3674448787
"metaT",188,62804445,137126,60064,62512108,117839,1.10929212771574,2.17060530588533,1601615.19179162,1601634.54594075,0.788664167849775,2.01389101256268,-4.05373988326052,1600494.34522363,1600523.37644733
"metaT",189,2699648,16657,23038,2679169,14996,1.69604303351404,2.07814219913211,175349.792442939,175365.023520494,1.60487977211526,2.05376822960395,-4.26469088412228,175347.370724559,175370.217340892
