"data","station","S","N","Nmean","Nvar","zeta","alpha","logk","BIC_betaprime","BIC_LN"
"metaG",123,13332,486.712458130905,0.0365070850683247,0.00976539853832756,6.66666666666667,0.511523169442147,-2.55241192293261,-71456.437901544,-69988.1500171825
"metaG",124,4588,493.179822078221,0.107493422423326,0.0447088670201098,2.16719528583362,0.153652764558114,-1.74390086906162,-12971.5859985818,-13088.9407881526
"metaG",125,6502,717.375951026482,0.110331582747844,0.0509964138731358,3.19710750953474,0.121638605282488,-1.95904303410614,-18862.1307382422,-18761.4530182198
"metaG",128,1942,88.0351404229534,0.0453322041312839,0.0037978291583269,2.66449425676799,1.10807377873177,-1.69808568221777,-8452.60262316011,-8472.10448031
"metaG",131,736,94.0215553171695,0.127746678420067,0.0919721360404635,5.72644508393015,-0.113668665230384,-2.46947234889463,-2217.2229447448,-2159.435616926
"metaG",132,1267,59.6382884239029,0.0470704723156298,0.00500382039191261,5.10163042101429,0.872050886921694,-2.07530028004576,-5630.33638087443,-5590.17378426578
"metaG",135,994,34.7230070811731,0.0349326026973572,0.00377366624919113,2.37538818319005,1.48509084990664,-1.67141633311518,-4933.17297564739,-4926.33964922753
"metaG",136,1528,62.3544960307298,0.0408079162504776,0.00415488844066575,2.93978932688866,1.24878358323685,-1.75282516369183,-7055.41751974759,-7057.8552591198
"metaG",137,1604,61.609047385012,0.0384096305392843,0.00287093909275269,2.27610909110686,2.10538782598599,-1.45345717797253,-7509.15134106399,-7498.96880962294
"metaG",138,917,27.2726851268689,0.0297412051547098,0.00223377474783532,2.61833665322504,2.82528792761532,-1.50963730656455,-4830.07659521865,-4809.53048858082
"metaG",142,749,22.8503977943592,0.0305078742247786,0.00120270418365968,2.16289944486504,4.19494874017335,-1.23292264413569,-3833.41995342181,-3803.69719597173
"metaG",143,749,23.4113984922377,0.0312568738214121,0.00427213686388084,2.84448028699229,3.01138024830704,-1.50045106593493,-3901.35498820537,-3896.57094586492
"metaG",144,1498,54.7442067719183,0.0365448643337239,0.00193312627223654,2.46887861654712,2.4287480179697,-1.44591946870788,-7162.44099247944,-7153.26417606505
"metaG",145,2700,183.816768999531,0.068080284814641,0.0437484780230347,6.66666666666667,-0.100060461885244,-2.8208878241929,-11933.3000437203,-11660.6110803435
"metaG",146,1495,64.887852388778,0.043403245745002,0.00396078751671467,3.47405484443928,0.903821056730411,-1.92372421765571,-6783.00128420008,-6760.79029102901
"metaG",147,1041,35.2440702822905,0.0338559752951878,0.00244675340443925,2.92553094237372,1.70288552046759,-1.70548129120818,-5174.25166175482,-5167.03197015574
"metaG",148,1357,51.2058619026897,0.0377346071501029,0.00357818014692055,2.76396538047843,1.96469967898741,-1.57787349078202,-6469.18930169345,-6455.55117400012
"metaG",149,2775,74.9972080766512,0.027026020928523,0.00218407852334144,6.66666666666667,0.405622149802108,-2.65745296522292,-15431.765978513,-15321.9406824864
"metaG",150,1306,45.6043728822559,0.0349191216556324,0.00698256419350231,2.65848421207947,2.25579364918515,-1.54945775156525,-6497.90212399191,-6480.42924265833
"metaG",151,774,21.8206385245572,0.0281920394374124,0.0032509500716386,4.30070935825726,1.9113315479427,-1.93497224443533,-4298.506504921,-4277.05887170573
"metaG",152,2580,99.2980792740448,0.0384876276255987,0.0107588507103884,6.66666666666667,0.236369891708216,-2.63388265832178,-12720.3500749082,-12628.5885734287
"metaG",155,51744,3620.91928365464,0.0699775680978402,0.217557531342891,5.52126245902748,1.27700803307362,-2.02540742459222,-245709.163516395,-238141.948160595
"metaG",158,10917,199.540771708482,0.0182779858668574,0.00957558427475498,6.66666666666667,1.1533358766657,-2.6806061930199,-79661.6246156751,-77158.8993271992
"metaG",168,1419,54.6436837136135,0.0385085861265775,0.00828443723833569,3.35425300268931,0.989098704616371,-1.95227809072335,-6930.46633646378,-6912.05183798426
"metaG",173,123737,6447.76160592933,0.0521085981228681,0.0323941529401456,3.83175777857666,0.611842852653255,-2.06859295074623,-550123.215380489,-546867.420230144
"metaG",175,43715,3105.73173311081,0.0710449898915888,0.517388378021839,6.66666666666667,1.25439161001546,-2.11318651583668,-208347.967000643,-202929.776869967
"metaG",178,926,36.1511087190677,0.0390400742106563,0.0369395427551595,3.35898274310444,1.23218250970246,-1.9455469944741,-4835.74397009267,-4788.35700424825
"metaG",180,6316,170.11354709644,0.0269337471653642,0.0105559992430232,6.66666666666667,1.10875587609451,-2.51822843930659,-40933.6376964224,-39351.7344223844
"metaG",188,186620,19118.3676034872,0.102445437806704,0.478999753876738,6.66666666666667,0.0077146764522586,-2.58528450380196,-719775.073594678,-700190.524185446
"metaG",189,23369,1143.1202624447,0.0489160966427616,0.0482504819126526,3.24955730022497,3.87075142474103,-1.30984934385438,-108713.893686199,-106914.709944725
"metaG",191,29315,852.198666174373,0.029070396253603,0.0202050287989994,6.66666666666667,0.718045047654661,-2.66674075336909,-187644.222507566,-181805.403421224
"metaG",193,29860,1366.35799877472,0.0457588077285573,0.126027335842025,6.66666666666667,0.691750506863113,-2.50816454794383,-167187.635789354,-161893.006418513
"metaG",194,81956,2627.16048439527,0.0320557431352832,0.0460421722967995,6.66666666666667,1.54365416181159,-2.32742297733911,-509138.074319758,-494706.196625351
"metaG",196,45518,1738.24763856148,0.0381881374085302,0.10248535596341,6.66666666666667,1.03708958366368,-2.41800532208536,-266493.306587296,-259434.658755834
"metaG",201,49991,3132.01115474535,0.0626515003649727,0.0281951336088989,1.61360433387434,2.36526673194908,-1.0748871078287,-190402.711440774,-188331.264866833
"metaG",205,238155,25157.3276810803,0.10563426206076,0.44908315477851,3.87061076817797,0.633101563567142,-1.89736005260439,-877371.262574998,-858712.679962087
"metaG",206,13893,614.494389409488,0.0442305038083559,0.0278544597494169,6.66666666666667,0.4205657969744,-2.58948797676002,-73974.6119161677,-71418.130172082
"metaG",208,2203,79.3588977745376,0.0360231038468169,0.0560881944886455,6.66666666666667,0.199663188840334,-2.77598907226381,-12079.2584936779,-11869.215377908
"metaG",209,22125,1400.20706332243,0.0632861949524262,0.1905180224803,6.66666666666667,0.388407685123043,-2.60662299753626,-117439.69800993,-112557.371581912
"metaG",210,7513,387.927781391575,0.0516342048970551,0.0314438441524298,6.66666666666667,0.180924191257186,-2.70555534778015,-38400.4342476969,-36972.7970639301
"metaT",7,441,54.4850083886559,0.123548771856363,0.0781840666127253,3.16385680849185,0.226102538412415,-1.86085558544812,-1231.26237401667,-1216.31080017992
"metaT",11,167,22.0008347395683,0.131741525386636,0.22941235927461,1.14332169346356,0.809566201896775,-1.10608610325088,-455.261459762651,-448.882497467342
"metaT",18,368,54.7400599719865,0.148750162967355,0.171149090695832,3.16730130332623,0.0922257830548654,-1.9199447096396,-957.175374767758,-937.335915441151
"metaT",22,608,39.0591208319734,0.0642419750525878,0.0167698771683437,2.18999490057756,1.02026533348658,-1.52341673021252,-2287.57239973675,-2290.78202199216
"metaT",23,618,88.5270400575944,0.143247637633648,0.241553735807757,6.66666666666667,0.057871283732712,-2.34956485145747,-1823.61993214192,-1750.84755300032
"metaT",25,792,86.1241480474582,0.108742611171033,0.0687227661496581,3.55904212941882,0.566250380041934,-1.7294501741047,-2294.89676863904,-2270.69561900532
"metaT",26,587,20.8369948854461,0.0354974359206919,0.00307197993193416,5.23047906311736,1.07418893247434,-2.13482604835345,-2940.75785581928,-2924.17392646648
"metaT",30,535,61.4563712545891,0.114871721971195,0.113962995903838,6.66666666666667,0.162746926581435,-2.31416107459024,-1712.84461096129,-1647.40640944332
"metaT",36,580,68.252178461987,0.117676169762047,0.267914158711373,1.56969908198483,0.461308089578235,-1.51001218123587,-1906.37292196049,-1890.91834936829
"metaT",38,432,52.8581446218043,0.122356816254177,0.0652630840371927,3.1768882227368,0.676069717886506,-1.54285243856287,-1083.69644553376,-1079.36339970537
"metaT",39,640,152.249078720619,0.237889185500967,1.11202775893327,1.57685807149047,0.493341110834112,-1.21606576688864,-1281.51809242287,-1260.33883351083
"metaT",41,325,114.409801659877,0.352030158953468,1.72154670175968,2.3948273408264,-0.0513265046597788,-1.77027432648854,-609.71744885194,-578.065816264462
"metaT",46,423,82.2450562059654,0.194432756988098,7.94925306826232,2.44878638965865,0.323106288743792,-1.97300295817894,-1744.36602666074,-1719.54052009654
"metaT",51,343,15.6612922634772,0.0456597442083883,0.00833965842068253,6.66666666666667,0.973516346985826,-2.20561599190145,-1612.04666345509,-1586.24395072819
"metaT",52,399,30.3191197570883,0.0759877688147578,0.0722560756778775,2.8862325156316,0.586057351853848,-1.82987100407816,-1515.01703104506,-1501.70773253169
"metaT",64,1900,220.861003598066,0.116242633472666,0.540038542552587,2.53745851977715,0.494753561588216,-1.69092980394783,-6143.96678388979,-6087.11113414899
"metaT",65,1094,171.49073247769,0.156755696963153,0.184976949020496,2.07869345828847,-0.0123532259160513,-1.76134771937467,-2565.64376290686,-2571.46184934373
"metaT",66,1774,631.890908603421,0.356195551636652,2.26886872614098,1.07949686516573,1.01268533344149,-0.528776961175271,-1152.15000908147,-1111.56785293062
"metaT",67,827,96.0856132381836,0.116185747567332,0.555839444640606,6.66666666666667,-0.121185916863485,-3.04594196425489,-4415.02858059495,-4207.90178957696
"metaT",68,484,95.2282538924167,0.196752590686811,0.149194400950374,1.34789248228982,0.245645860688694,-1.20899865417539,-800.942280039153,-816.312812562913
"metaT",70,669,68.9168745362489,0.10301476014387,0.0696321593399939,2.39837645190329,0.977893293755036,-1.40391683242962,-1983.05352110943,-1956.2725059974
"metaT",72,488,217.685015611141,0.446075851662173,19.4738638495461,2.22732523353671,-0.0509598328028559,-1.69819480726721,-836.835377602707,-818.573007453504
"metaT",76,519,87.3829059256201,0.168367834153411,0.263426388248603,1.8857814260207,0.705563405135026,-1.25148268029457,-1163.61744831458,-1147.00054765683
"metaT",78,374,135.014930051916,0.361002486769829,4.6241391557514,2.91142445793613,-0.0608382760761726,-2.03167072223173,-986.787026176799,-922.405481726436
"metaT",80,8077,1382.88265803593,0.17121241278147,0.123143493614881,0.626882861463562,1.20547635424265,-0.490967581039035,-15939.6832530669,-16053.0336383175
"metaT",81,1005,151.557969583847,0.150803949834673,0.695527880079307,6.66666666666667,-0.351524413512377,-3.14065707839468,-4249.81153998748,-4066.92756983549
"metaT",82,1462,290.386039811834,0.198622462251596,0.536954403441743,2.2368602034574,0.0236577943844727,-1.74885658609791,-3347.64494081406,-3304.80093600551
"metaT",84,41643,10786.7749631666,0.259029728001502,0.474015611069315,0.944084588113583,1.23343475089894,-0.48562232996328,-44855.6748564971,-44090.0068802597
"metaT",85,31165,14459.0222987978,0.463950659354975,2.0017519649882,0.85087860990957,1.52987395602101,-0.109637745878639,1741.93097582061,3667.79548462689
"metaT",92,4780,252.63299542201,0.0528520910924708,0.0679491585166967,6.66666666666667,0.354902923072703,-2.574728238632,-24144.1391156526,-23449.9262607365
"metaT",98,304,69.0760264193212,0.227223771116188,0.395638709638034,1.92706259522252,0.210150482618768,-1.38610675839648,-478.625506829201,-474.81210425328
"metaT",100,3782,389.827435153163,0.10307441437154,0.0521088200544922,1.43973358352936,1.2644757154524,-1.04137747554998,-10419.4042150907,-10460.83930847
"metaT",102,1649,430.101872846191,0.26082587801467,1.14658398955932,1.33397060091125,0.207364507848723,-1.21058118138816,-2628.85070874432,-2639.76689928009
"metaT",109,1115,97.3296216099872,0.0872911404573876,0.0830257326115205,3.53117362475177,0.186382077933784,-2.12944326589816,-4122.8961191656,-4057.51128447879
"metaT",110,593,62.5613463194493,0.105499740842242,0.0667781542606107,1.98151601901266,0.395368226420208,-1.58372399922105,-1763.81082958806,-1762.71016035903
"metaT",111,834,175.885687588592,0.210894109818455,2.11833688510699,2.99423276505903,0.261886579178493,-1.87161994188456,-2571.32089400616,-2495.3514401644
"metaT",122,3076,222.671768343372,0.0723900417241132,0.0210715946480147,2.89266620467524,0.601756025576548,-1.78569362307401,-11283.78267257,-11216.750702134
"metaT",123,8147,989.411209441627,0.121444852024258,0.376417417103411,2.16142058897694,0.371910891758973,-1.64656284729906,-24833.9598116364,-24709.7109857336
"metaT",124,2463,222.492708185548,0.0903340268719236,0.0156432316295773,1.31221361114484,1.75889856849873,-0.912921108441717,-7195.10846106678,-7206.82080139553
"metaT",125,2928,206.732078613746,0.0706052181057876,0.0117551019463446,2.33821829762702,0.961602411653286,-1.5089843021591,-10231.8084532196,-10249.4343366653
"metaT",128,749,31.3131751533027,0.0418066423942626,0.00320752994940769,1.71255728449501,2.65513379805393,-1.19277826289519,-3325.96957241409,-3314.61551856437
"metaT",131,415,182.654488034287,0.440131296468162,20.0603139311503,1.99831880218513,0.238513100746619,-1.42390531464233,-736.776626308715,-703.681444659593
"metaT",132,620,76.6656742423763,0.123654313294155,0.0728809431445214,4.26847890058126,0.31184119668434,-1.91993168003163,-1702.19501012618,-1670.91943615156
"metaT",135,207,5.06559643502433,0.0244714803624364,0.0015193961865022,3.92383094445566,1.30022329766492,-2.10491271841326,-1181.6821063234,-1179.38035093897
"metaT",136,787,120.813581640208,0.153511539568244,0.160551193437264,3.6593459666558,0.276603347187394,-1.79613349508955,-1870.3186482538,-1834.01049238981
