"station","N_10","S_10","nmin","zeta","zeta_low","zeta_high","alpha","alpha_low","alpha_high","logk","logk_low","logk_high","logN_mean","logN_low","logN_high","KS","p_KS","CvM","p_CvM","data"
80,441973,16343,10,2.18826230739149,1.9778197736185,2.39924311427623,0.790867475113395,0.727061096233348,0.865956124301088,0.209897237157333,0.100344172174298,0.308975836978718,5.61392717586132,5.59782759265204,5.63779772915364,1.01762394208459,0.00025,15398.5762737419,0.99275,"metaG"
81,118875,4589,10,1.17106253802007,1.12704765361497,1.17892946366222,1.03576590385696,0.984579467836114,1.07956768669258,-1.54243944145966,-1.58937715807896,-1.40454879276038,4.94494233158799,4.92854882703455,4.96770238538161,1.06859218678278,0.00025,4497.57163396222,0.00025,"metaG"
82,425001,5341,10,0.0957868883778378,0.0942801146495633,0.0966240294750313,-0.0583128230822844,-0.0718752635963397,-0.0369255910053002,0.729896883720968,0.610365328132136,0.843799770386245,6.06052544090739,5.77998391680099,6.8758932320606,1.01859196312926,0.0065,5216.33551057688,0.3695,"metaG"
84,2130353,47402,10,0.438616075489518,0.438340606118914,0.438616108858559,0.297790864287694,0.297415361312808,0.297794818046976,-1.93301111939229,-1.9330642342795,-1.93206386452345,6.29811941133526,6.25375357888966,6.41877121527738,1.01348637142924,0.00025,45409.7784765823,0.0695,"metaG"
85,2069738,36493,10,0.315601787243347,0.314158156893565,0.315603393713272,0.226450795989443,0.222368625000757,0.229965204195994,-1.29936240020084,-1.30280730422007,-1.28298571569819,6.26646387187537,6.19910785947423,6.45196760357874,1.01702375842261,0.00025,35378.1777811691,0.00025,"metaG"
92,315020,11244,10,0.462840974936269,0.459915961342378,0.46284170150801,0.619955984477984,0.611921761621887,0.624160042495832,-2.02202282434681,-2.02542776594564,-2.01431484669534,5.45913440690964,5.43478093007674,5.50696833648503,1.0165509824776,0.001,10636.9017612081,0.12175,"metaG"
98,25792,490,10,0.101407542410405,0.0923986161292235,0.117679010107181,0.121197203624842,-0.0382283534929395,0.430284097278429,0.951917319655597,0.230987536000896,1.37164438105782,4.60948644684489,4.39639072587536,5.15539449966735,1.03735234762941,0.0265,479.929039828497,0.091,"metaG"
100,519765,7533,10,0.437558297353074,0.432052652172871,0.43755982906289,0.0694024793626145,0.0600602203881516,0.0766418317194128,-2.29069706530187,-2.29607746555608,-2.2675670563351,5.80996500672247,5.64654300532681,6.28325455570244,1.04416762433407,0.00025,7512.39764464673,0.00025,"metaG"
102,640313,4714,10,0.115175518211216,0.113563766356388,0.116820247381515,-0.107990876924191,-0.119254488387761,-0.0771789411701291,1.17078959932935,1.09579123768772,1.25551460566488,6.28487836949473,5.92985985575045,7.18728546887974,1.03722556290053,0.00025,4655.85647458554,0.0985,"metaG"
109,109153,3246,10,0.160645045155564,0.160606861193021,0.160645101667679,0.463265273116527,0.463038984500364,0.463278133906423,-2.40229476342765,-2.40268186903068,-2.40109785347098,4.99699271168334,4.94411089332215,5.10626765486023,1.02814225574406,0.00325,3138.31409040449,0.01425,"metaG"
110,273924,3946,10,0.239561680483138,0.229632769232438,0.251577809873819,0.213576390281707,0.141341591374132,0.317405628534692,1.1447376276995,1.03242822207935,1.26734052996015,5.5103436592557,5.39666352329597,5.79689087794356,1.02518308699176,0.00025,3869.11533625762,0.03725,"metaG"
111,159886,2820,10,0.043101250544009,0.042909652781048,0.0447190988774504,0.251942665431792,0.245579808922193,0.333189839554811,1.28680875013754,1.20694486105538,1.38432954824989,5.34149211512598,5.22544097189901,5.62830256065847,1.02511330634002,0.00175,2772.23132603378,0.03125,"metaG"
122,1377896,11189,10,0.554875388025798,0.552572923708108,0.554875536429806,0.0392704631608156,0.0358633986050593,0.0399665181327937,-2.58616923756199,-2.58680052547765,-2.58301474284835,6.06151234596673,5.87936662557325,6.64394919552264,1.05112305985702,0.00025,11289.8673473974,0.00025,"metaG"
123,672080,13332,10,0.325712419043967,0.31830331556664,0.328305902550787,0.414882374379085,0.394558427478562,0.43428875316543,-0.775238670774438,-1.72643989319072,-0.540304819015965,5.64978794202479,5.60807859210485,5.74452213032363,1.02512528753372,0.00025,12985.724371278,0.00025,"metaG"
124,569283,4588,10,0.182755566972428,0.177807085469727,0.18765232804456,-0.0174505797119806,-0.0499909862531375,0.036120914439495,0.871524936203601,0.752985452441674,1.00113362009337,5.92460546810375,5.67095473624926,6.68056674391109,1.02610217384513,0.00025,4490.05720520329,0.216,"metaG"
125,802939,6502,10,0.146111779203376,0.143771220408379,0.147895400899914,-0.0601199787398512,-0.0731334316549533,-0.0316984384983584,0.837889889284361,0.752570966867554,0.93290331313168,6.18872587237702,5.91020313771595,6.95079902470636,1.02343194822553,5e-04,6377.34335147154,0.15575,"metaG"
128,97705,1942,10,0.12910187115945,0.122771537668621,0.138231428811538,0.158981228456392,0.0928060351210371,0.277171162383454,0.358461983260635,-0.366494081989522,0.753893820240509,5.08725978949545,4.9441786826644,5.45771217661891,1.01542915717121,0.151,1874.49860763696,0.47425,"metaG"
131,80186,736,10,0.319886125369527,0.292272365957816,0.335196944808612,-0.114319381851148,-0.166654351405168,-0.0417405751935043,-1.21130072589335,-2.12431329749034,-0.228417369661698,5.12868699379949,4.7513324249731,6.06458936765968,1.03368732341916,0.0695,723.050948043506,0.1995,"metaG"
132,50275,1267,10,0.17537122231067,0.157759276193411,0.202237731915403,0.633671104319178,0.415684555075893,0.979276835776924,1.1980095654512,0.95308723513712,1.41775722690157,4.70071147378239,4.63611587865635,4.82028733889957,1.00973034556684,0.8275,1226.65810822435,0.40275,"metaG"
