station,mu_KS,N_10,S_10,N_KS,S_KS,alpha,alpha_low,alpha_high,logk,logk_low,logk_high,logN_mean,logN_low,logN_high,KS,p_KS,AD,p_AD
39,11,116885,640,116715,623,1.342276552824436,1.1268521140192729,1.656675951465305,1.8788468486429764,1.762893701353441,2.0137729713186814,5.119329783542131,4.965006701188475,5.42190038390716,0.016857681786868084,0.856,0.628040805265593,0.857
41,12,115205,325,115037,309,0.8981421482733614,0.7415055383094099,1.1308009126792855,1.6531862939735813,1.4968146665571158,1.8280885100589899,5.241829579791726,4.847674115493269,6.216188480524689,0.030397658377335823,0.48,0.6545292764831365,0.542
46,16,37556,423,36081,303,1.2536893823231487,1.0020978381404275,1.696111343064469,1.2686802074532442,1.0957224745369183,1.4626017510014133,4.3602887195748234,4.190585866006696,4.781527694147994,0.01477556943985009,0.999,1.176905748863219,0.543
51,10,16255,343,16255,343,1.6804387969789438,1.3290737720682513,2.4394529773039166,1.44811580828462,1.2881516080304236,1.6590909134449454,4.23361352198468,4.123260205613027,4.423360975037517,0.027491788846796317,0.517,1.1699091371272676,0.547
52,23,35076,399,32663,243,1.7463829922479501,1.311577613732614,2.8026417954205813,1.8869435273057187,1.6960479783755538,2.157973341983704,4.474172170501375,4.359167383571796,4.666730035895081,0.017982618667267025,0.998,0.5297900058352849,0.932
64,14,186561,1900,184310,1702,1.5578000877765352,1.3853461890631324,1.7931793561367981,1.747389607400306,1.6713153162529182,1.8310712448095545,5.2746384892283995,5.204806642467599,5.400990472700544,0.008611351631160336,0.969,1.242689022352482,0.723
65,111,196912,1094,168419,307,2.1960316450046906,1.6417716074434827,3.5449936743352994,2.7196551922663357,2.521559714855287,2.9909120117409884,5.222023139090626,5.143291064530738,5.326284880738805,0.028453094053127015,0.686,0.6683164398185619,0.331
66,111,1131535,1774,1096568,947,2.1403931360136355,1.797091010816389,2.725764191872815,3.0566369207874677,2.951061068070278,3.1986624282484972,6.0191499313916195,5.966618840071855,6.091591440260946,0.01960793667652594,0.449,0.7110318453472183,0.263
67,10,165138,827,165138,827,0.8849569754227021,0.7791217012386565,1.0039147571255307,0.9100931486786361,0.8061814295796156,1.0082617296321255,5.13227871913039,4.748883475826962,6.0867511734906214,0.02452459934647666,0.095,2.759868885230629,0.155
68,16,106815,484,106174,430,1.1132734593535139,0.9336906376830006,1.3901525696198558,1.8768794862793587,1.743074302995812,2.0316172303707503,5.235780042798966,4.987923623583389,5.845708968407102,0.029124498208016436,0.332,1.0919676613887546,0.015
70,10,82456,669,82456,669,1.5132455595886267,1.283401978060129,1.8457843642255412,1.8021819353733544,1.6901334065695028,1.9307342017051816,4.932517326970965,4.825194621950381,5.130064462499361,0.020054125166393516,0.578,0.8169923926988526,0.603
72,15,144734,488,143910,421,0.9452706108219147,0.8036120525629133,1.1714806846940382,1.699949303336711,1.5631488456355955,1.8492776805538067,5.362017153705988,5.001472319249048,6.183700597599908,0.02673537918743607,0.481,0.6621962081623166,0.603
