station,mu_KS,N_10,S_10,N_KS,S_KS,alpha,alpha_low,alpha_high,logk,logk_low,logk_high,logN_mean,logN_low,logN_high,KS,p_KS,AD,p_AD
68,17,39144,977,33757,545,1.5359016371980712,1.2712079591866388,1.9672409679247613,1.4479373337165213,1.318647965465054,1.6007905719310835,4.561966699717784,4.469985685075395,4.741668773170967,0.02112598610470806,0.558,1.3416588758377817,0.465
70,16,43166,1355,36653,812,1.5291682659822525,1.320820771435661,1.8390459351232,1.2607627131834296,1.1537038874836492,1.3814744137980874,4.596502439961345,4.525432258110034,4.7461566393641075,0.011699243638312318,0.947,2.1870440031883893,0.535
72,16,24623,787,20451,442,1.9901880055680328,1.535009758011495,2.777025896890835,1.4871111250800484,1.3232533455392856,1.682161006786315,4.31205762001366,4.249538930745905,4.410148941851072,0.016073094889605732,0.959,1.2698031083920363,0.816
76,10,45163,928,45163,928,1.2203928977957181,1.0711281515600213,1.43815533737798,1.1672511870736124,1.0759683529851531,1.2740953911525421,4.775563158501411,4.624431590327509,5.152527215209669,0.014428436911939957,0.698,2.186549298414851,0.73
78,11,19844,591,19134,520,1.7513449523640419,1.4414454163984338,2.314303899864301,1.347115940883147,1.2188126810938713,1.5157897880711593,4.310559449869281,4.235524027314296,4.419012228749557,0.02158678944453446,0.52,1.6195023405073916,0.745
80,24,441973,16343,265838,4066,1.2595189761878987,1.1773667261958172,1.3537341151014401,1.1689892671015027,1.1215891894305712,1.2196318902468177,5.485147000082535,5.40616918658368,5.729260444313235,0.006897409013656208,0.705,4.804895715745936,0.46
81,18,118875,4589,78288,1240,0.8742022960484999,0.7914935350733137,0.9796654983774764,0.8005226072690865,0.7208244688429717,0.888742921745224,5.273080963340671,4.929525344177599,6.229046205289021,0.023623337387985388,0.011,3.8844078850465222,0.265
82,11,425001,5341,420691,4910,0.9542274155559367,0.9051763751065516,1.011245942786804,1.157403524298303,1.1153546203109925,1.198385239246414,6.026772902009416,5.762658233591428,6.784756527157995,0.017145419227064335,0.001,4.000908503472905,0.894
84,28,2130353,47402,1589857,11921,1.0015711816349036,0.965442796055539,1.0382738473350839,1.2741808723092551,1.2470360926672117,1.3010080483239614,6.4785182593193,6.2760685829204315,7.066625006810802,0.008681372751471184,0.005,5.667339380450296,0.056
85,27,2069738,36493,1686994,10676,1.1822954508504768,1.1340463348100378,1.2343681428164905,1.4599347528328508,1.4314866485561486,1.489474715035708,6.240223779481887,6.14128562831684,6.579571625539417,0.004872428452501798,0.57,4.161791268522033,0.563
