"station"	"latitude"	"longitude"	"depth_category"	"depth_nominal"	"month"	"SSD"	"temp_woa"	"sal_woa"	"no3_woa"	"po4_woa"	"sioh4_woa"	"dco"	"dcu"	"dfe"	"dzn"
71	-9.3	-9.5587	"SUR"	5	9	729	25.728833940979	36.2579002380371	0.193854495882988	0.252943456172943	1.48769307136536	28.15	0.833	0.734	0.868
72	-8.7789	-17.9099	"SUR"	5	10	732.5	25.7631178391724	36.2210884094238	0.0532614924013615	0.106488890945911	1.30011236667633	28.05	0.81	0.728	0.847
76	-20.9354	-35.1803	"SUR"	5	10	755	25.6333410821533	37.1759872436523	0.280447423458099	0.133171677589417	2.5739061832428	21.955	0.777	0.793	0.829
78	-30.1367	-43.2899	"SUR"	5	11	802	20.8697728216553	36.2625885009766	0.13833849132061	0.0310167726129293	2.40887761116028	22.947	0.773	0.617	0.841
80	-40.6511	-52.182	"SUR"	5	11	888.5	16.9739913878174	34.7732009887695	2.60963106155396	0.417359113693237	2.99579262733459	39.202	0.881	0.758	1.052
81	-44.5342	-52.455	"SUR"	5	12	919	13.2953669984741	34.7035102844238	3.37670660018921	0.510580658912659	1.74105131626129	25.018	-999	0.073	-999
82	-47.1863	-58.2902	"SUR"	5	12	945	8.02662185821532	34.0094108581543	8.19539737701416	0.749630451202393	2.05274820327759	25.103	-999	0.082	1.769
83	-54.3739	-65.1342	"SUR"	5	12	1031	7.76117324301148	33.6297384897868	12.1967738469442	1.020189255476	3.66066360473633	-999	-999	-999	-999
84	-60.2287	-60.6476	"SUR"	5	1	1123.75	0.912350516605411	33.8057098388672	22.6029853820801	1.65344071388245	28.1510963439941	29.884	1.01	0.07	3.491
85	-62.0385	-49.529	"SUR"	5	1	1157.6	0.249804541477199	33.9269866943359	23.6984939575195	1.50477313995361	64.7300567626953	40.247	1.042	0.11	3.204
86	-64.3595	-53.0063	"SUR"	5	1	1217	-1.53275738200187	33.9122123718262	22.4675350189209	1.52082395553589	68.6536483764648	53.426	1.142	0.148	3.952
87	-63.8768	-56.0916	"SUR"	5	1	1152.5	-0.344002548328397	34.2299369812012	23.6810764312744	1.73366034030914	77.6079055786133	-999	-999	-999	-999
88	-63.4015	-56.7938	"SUR"	5	1	1109.5	-0.999005770118709	34.2299369812012	23.6810764312744	1.73366034030914	77.6079055786133	-999	-999	-999	-999
89	-57.7338	-67.1084	"SUR"	5	1	993	4.38335406561278	33.9965896606445	16.9418907165527	1.2755606174469	1.47755432128906	23.613	0.964	0.13	2.222
90	-39.6466	-76.9634	"SUR"	5	2	801	14.383582771403	33.8293876647949	1.8290479183197	0.370829403400421	2.62758994102478	21.85	0.952	0.432	1.009
91	-34.161	-73.0995	"SUR"	5	2	778	14.7561985516357	34.2200126647949	7.85882949829102	0.956501603126526	6.29791641235352	39.761	1.071	0.909	1.408
92	-33.6895	-71.998	"SUR"	9	2	775	13.5393934946289	34.368844350179	10.8311586380005	1.28438814481099	5.33435575167338	60.126	1.117	1.259	1.896
93	-34.0614	-73.1066	"SUR"	5	3	744.5	14.8935772129822	34.2267112731934	5.10369300842285	0.350607216358185	4.5495433807373	39.297	1.074	0.886	1.437
94	-32.7971	-87.0693	"SUR"	5	3	734	19.1862747302246	34.7869110107422	0.20989316701889	0.23034955561161	1.11745011806488	2.287	0.387	0.018	0.599
95	-31.4328	-93.9583	"SUR"	5	3	727	21.6863771051636	35.0471878051758	0.0810933783650398	0.206318631768227	0.719234824180603	2.333	0.388	0.023	0.588
96	-29.7238	-101.1604	"SUR"	5	3	722	22.5186639273071	35.6793899536133	0.0837379768490791	0.135371536016464	0.385226339101791	2.421	0.385	0.03	0.579
97	-28.1698	-107.3833	"SUR"	5	3	715.333333333333	23.9978834108276	35.8986892700195	0.0280530098825693	0.108712822198868	0.333856016397476	2.589	0.384	0.034	0.576
98	-25.8051	-111.7202	"SUR"	5	4	706.8	24.6271680466919	36.3167114257812	0.00582981761544943	0.134595051407814	1.01095306873322	3.252	0.409	0.034	0.606
99	-21.146	-104.787	"SUR"	5	4	704	22.3545499093018	36.284912109375	0.0300477147102356	0.241722956299782	0.843688607215881	6.194	0.512	0.026	0.726
100	-13.0023	-95.9759	"SUR"	5	4	709	21.5850066140137	35.7923126220703	5.76220750808716	0.690945506095886	2.13452386856079	18.501	0.732	0.005	0.819
102	-5.2529	-85.1545	"SUR"	5	4	717.5	22.1939947277832	34.9157104492188	5.68570232391357	0.664420485496521	4.63538503646851	82.387	1.061	0.813	1.136
106	-0.0283	-84.5862	"SUR"	5	5	727	25.1746498400879	34.7716903686523	6.70578527450562	0.656789004802704	6.22365808486938	57.131	1.08	0.772	1.123
109	1.9928	-84.5766	"SUR"	5	5	732	26.1417770309448	34.021312713623	3.31448078155518	0.489999651908875	4.54979228973389	62.845	1.007	0.801	0.999
110	-2.0133	-84.589	"SUR"	5	5	721	23.1880390182495	35.0462875366211	8.38376903533936	0.745409846305847	7.3287296295166	51.426	1.08	0.678	1.138
111	-16.9601	-100.6335	"SUR"	5	5	671	22.2711660366516	36.0025901794434	2.67647480964661	0.490540206432343	0.811858057975769	15.877	0.666	0.005	0.852
112	-23.2811	-129.3947	"SUR"	5	6	643	23.9323838142395	36.0974884033203	0.00408227136358619	0.22694918513298	0.544474542140961	4.003	0.406	0.041	0.602
113	-23.1108	-134.9327	"SUR"	5	6	643	24.6674186947632	36.0994873046875	0	0.163372084498405	0.0566456615924835	4.187	0.403	0.056	0.601
114	-23.1595	-134.9236	"SUR"	5	6	643	24.6648525372315	36.0994873046875	0	0.163372084498405	0.0566456615924835	4.187	0.403	0.056	0.601
115	-23.2317	-134.9611	"SUR"	5	6	643	24.9914926799723	36.0994873046875	0	0.163372084498405	0.0566456615924835	4.187	0.403	0.056	0.601
116	-23.2329	-134.9606	"SUR"	5	6	643	24.9961557865804	36.0994873046875	0	0.163372084498405	0.0566456615924835	4.187	0.403	0.056	0.601
117	-23.1571	-135.018	"SUR"	5	7	644	24.2488754563192	36.0675888061523	0.0127451894804835	0.216816753149033	1.34022879600525	4.142	0.395	0.048	0.595
118	-23.1571	-135.018	"SUR"	5	7	644	24.2766223815105	36.0675888061523	0.0127451894804835	0.216816753149033	1.34022879600525	4.142	0.395	0.048	0.595
119	-23.0244	-134.9228	"SUR"	5	7	646	25.1874227509155	36.1082878112793	0.0172637887299061	0.198213770985603	1.34950935840607	4.15	0.396	0.049	0.595
120	-23.0242	-134.9232	"SUR"	5	7	646	25.1874227509155	36.1082878112793	0.0172637887299061	0.198213770985603	1.34950935840607	4.15	0.396	0.049	0.595
121	-23.073	-135.018	"SUR"	5	7	647	24.8833786117553	36.0675888061523	0.0127451894804835	0.216816753149033	1.34022879600525	4.142	0.395	0.048	0.595
122	-8.9971	-139.1963	"SUR"	5	7	701.5	27.550867984436	35.406810760498	3.61117434501648	0.420098036527634	1.27489292621613	6.765	0.502	0.011	0.696
